0	the system as described above has its greatest application in an arrayed <e1> configuration </e1> of antenna <e2> elements </e2>	12	whole	component	2
1	the <e1> child </e1> was carefully wrapped and bound into the <e2> cradle </e2> by means of a cord	0	other	other	0
2	the <e1> author </e1> of a keygen uses a <e2> disassembler </e2> to look at the raw assembly code	6	agency	instrument	2
3	a misty <e1> ridge </e1> uprises from the <e2> surge </e2>	0	other	other	0
4	the <e1> student </e1> <e2> association </e2> is the voice of the undergraduate student population of the state university of new york at buffalo	15	member	collection	1
5	this is the sprawling <e1> complex </e1> that is peru largest <e2> producer </e2> of silver	0	other	other	0
6	the current view is that the chronic <e1> inflammation </e1> in the distal part of the stomach caused by helicobacter pylori <e2> infection </e2> results in an increased acid production from the non - infected upper corpus region of the stomach	10	effect	cause	2
7	<e1> people </e1> have been moving back into <e2> downtown </e2>	7	entity	destination	1
8	the <e1> lawsonite </e1> was contained in a <e2> platinum crucible </e2> and the counter - weight was a plastic crucible with metal pieces	17	content	container	1
9	the solute was placed inside a beaker and 5 ml of the <e1> solvent </e1> was pipetted into a 25 ml glass <e2> flask </e2> for each trial	7	entity	destination	1
10	the fifty <e1> essays </e1> collected in this <e2> volume </e2> testify to most of the prominent themes from professor quispel scholarly career	15	member	collection	1
11	their <e1> composer </e1> has sunk into <e2> oblivion </e2>	0	other	other	0
12	the pulitzer committee issues an official <e1> citation </e1> explaining the <e2> reasons </e2> for the award	1	message	topic	1
13	the <e1> burst </e1> has been caused by water hammer <e2> pressure </e2>	10	effect	cause	2
14	even commercial <e1> networks </e1> have moved into <e2> high - definition broadcast </e2>	6	agency	instrument	2
15	it was a friendly <e1> call </e1> to remind them about the <e2> bill </e2> and make sure they have a copy of the invoice	1	message	topic	1
16	texas - born <e1> virtuoso </e1> finds harmony sophistication in appalachian <e2> instrument </e2>	6	agency	instrument	2
17	the <e1> factory </e1> products have included flower pots finnish rooster - whistles pans <e2> trays </e2> tea pots ash trays and air moisturisers	4	producer	product	2
18	the girl showed a photo of apple <e1> tree </e1> <e2> blossom </e2> on a fruit tree in the central valley	12	whole	component	2
19	they tried an assault of their own an hour later with two columns of sixteen tanks backed by a <e1> battalion </e1> of panzer <e2> grenadiers </e2>	16	collection	member	2
20	their <e1> knowledge </e1> of the power and rank symbols of the continental empires was gained from the numerous germanic <e2> recruits </e2> in the roman army and from the roman practice of enfeoffing various germanic warrior groups with land in the imperial provinces	13	entity	origin	1
21	she soon had a <e1> stable </e1> of her own rescued <e2> hounds </e2>	16	collection	member	2
22	the <e1> singer </e1> who performed three of the nominated songs also caused a <e2> commotion </e2> on the red carpet	9	cause	effect	1
23	his intellectually engaging books and <e1> essays </e1> remain pertinent to illuminating contemporary <e2> history </e2>	0	other	other	0
24	poor hygiene controls reports of a <e1> brace </e1> of gamey <e2> grouse </e2> and what looked like a skinned fox all amounted to a pie that was unfit for human consumption	16	collection	member	2
25	this sweet <e1> dress </e1> is made with a <e2> blend </e2> of cotton and silk and the crochet flower necklace is the perfect accessory	0	other	other	0
26	<e1> suicide </e1> is one of the leading causes of <e2> death </e2> among pre - adolescents and teens and victims of bullying are at an increased risk for committing suicide	9	cause	effect	1
27	this <e1> article </e1> gives details on 2004 in <e2> music </e2> in the united kingdom including the official charts from that year	1	message	topic	1
28	we have therefore taken the initiative to convene the first international open <e1> meeting </e1> dedicated solely to <e2> rural history </e2>	1	message	topic	1
29	the <e1> timer </e1> of the <e2> device </e2> automatically eliminates wasted standby power consumption by automatically turn off electronics plugged into the auto off outlets	11	component	whole	1
30	bob parks made a similar <e1> offer </e1> in a <e2> phone call </e2> made earlier this week	2	topic	message	2
31	he had chest pains and <e1> headaches </e1> from <e2> mold </e2> in the bedrooms	10	effect	cause	2
32	the silver - haired author was not just laying india politician saint to rest but healing a generations - old rift in the family of the <e1> country </e1> founding <e2> father </e2>	3	product	producer	1
33	it describes a method for loading a horizontal <e1> stack </e1> of containers into a <e2> carton </e2>	7	entity	destination	1
34	the foundation decided to repurpose the building in order to reduce wear and tear on the <e1> plumbing </e1> in the <e2> manor house </e2> by redirecting visitors during restoration projects and beyond	11	component	whole	1
35	the technology is available to produce and transmit <e1> electricity </e1> economically from otec <e2> systems </e2>	13	entity	origin	1
36	the medicare buy - in <e1> plan </e1> ran into senate <e2> resistance </e2>	0	other	other	0
37	the <e1> provinces </e1> are divided into <e2> counties </e2> shahrestan and subdivided into districts bakhsh and sub - districts dehestan	12	whole	component	2
38	financial <e1> stress </e1> is one of the main causes of <e2> divorce </e2>	9	cause	effect	1
39	<e1> newspapers </e1> swap content via widgets with the help of the newsgator <e2> service </e2>	6	agency	instrument	2
40	the <e1> women </e1> that caused the <e2> accident </e2> was on the cell phone and ran thru the intersection without pausing on the median	9	cause	effect	1
41	the <e1> transmitter </e1> was discovered inside a bed settee <e2> suite </e2> on which he had been sitting	17	content	container	1
42	the kerala backwaters are a <e1> chain </e1> of brackish <e2> lagoons </e2> and lakes lying parallel to the arabian sea coast of kerala state in southern india	16	collection	member	2
43	a st paul college <e1> student </e1> was released from <e2> jail </e2> wednesday night after his arrest tuesday in the alleged rape of another student on campus	13	entity	origin	1
44	<e1> calluses </e1> are caused by improperly fitting shoes or by a <e2> skin abnormality </e2>	10	effect	cause	2
45	<e1> adults </e1> use <e2> drugs </e2> for this purpose	6	agency	instrument	2
46	the <e1> councilor </e1> proposed assessing infinitival complements through <e2> elicitation </e2>	6	agency	instrument	2
47	as in the popular movie deep impact the action of the perseid <e1> meteor shower </e1> is caused by a <e2> comet </e2> in this case periodic comet swift - tuttle	10	effect	cause	2
48	the following information appeared in the <e1> notes </e1> to consolidated financial <e2> statements </e2> of some corporate annual reports	0	other	other	0
49	hiphop appropriates the symbols of a consumer society : oversized <e1> diamond </e1> <e2> colliers </e2> are worn	0	other	other	0
50	the <e1> radiation </e1> from the atomic <e2> bomb explosion </e2> is a typical acute radiation	10	effect	cause	2
51	the ride - on <e1> boat </e1> <e2> tiller </e2> was developed by engineers arnold s juliano and dr eulito u bautista	12	whole	component	2
52	a neoplastic <e1> recurrence </e1> arose from an extensive <e2> radiation </e2> induced ulceration	10	effect	cause	2
53	he has a tattoo on his right arm and <e1> scars </e1> from <e2> stitches </e2> on his right elbow	10	effect	cause	2
54	whether your home includes a charm of finches a sute of bloodhounds or a <e1> knob </e1> of <e2> toads </e2> i think it is important to keep the numbers within reason	16	collection	member	2
55	furthermore these ingo practitioners constructed a <e1> discourse </e1> around <e2> participation </e2> which distorted the real significance of participation	1	message	topic	1
56	kelvin bought a <e1> silver </e1> <e2> ring </e2> which he was so happy with and he keeps wearing it now even though its abit too big haha	0	other	other	0
57	scientists are in the midst of an ongoing <e1> debate </e1> about the relative <e2> value </e2> of openness and collaboration in their profession	1	message	topic	1
58	this cut blue and white striped cotton <e1> dress </e1> with red bands on the bodice was in a <e2> trunk </e2> of vintage barbie clothing	17	content	container	1
59	my major <e1> disagreement </e1> with lyons concerns the <e2> causal part </e2> of his theory	0	other	other	0
60	both his <e1> feet </e1> have been moving into the <e2> ball </e2>	7	entity	destination	1
61	the scissors were in a small plastic soap container next to a bar of soap and the <e1> box cutters </e1> were in a <e2> box </e2> next to a bottle of after - shave lotion	17	content	container	1
62	a great <e1> wing </e1> of fluorite <e2> dragons </e2> the greatest concentration of the rather solitary dragons ever known joined the desperate battle with the blues and silvers against chaos	16	collection	member	2
63	as a control <e1> cowpea </e1> was sealed in <e2> double bags </e2> without fumigant	7	entity	destination	1
64	the infectious bacterial disease <e1> brucellosis </e1> has been found in a beef <e2> cow </e2> in eastern idaho	0	other	other	0
65	as the anglo - norman force sustained but little loss in this battle their archers at the onset showered a hail of arrows upon the irish host who were not protected with mail armour and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy anglo - norman cavalry of mail - clad knights completed the havoc and <e1> rout </e1> of the undisciplined gaelic <e2> hosts </e2>	0	other	other	0
66	the first incarnation of this series was set in the 1940s during world war ii when the <e1> princess </e1> left her native paradise <e2> island </e2> where amazon women had lived for centuries to help the american foil the nazis	13	entity	origin	1
67	cieply <e1> story </e1> makes a compelling <e2> point </e2> about modern - day studio economics	1	message	topic	1
68	we poured the <e1> milk </e1> into the <e2> pumpkin mixture </e2>	7	entity	destination	1
69	lawyers in detroit also worked overtime as several <e1> lawsuits </e1> ensued from angry and injured <e2> fans </e2>	13	entity	origin	1
70	the continuing nigerian <e1> outbreak </e1> is the biggest ever caused by the <e2> vaccine </e2>	10	effect	cause	2
71	our mercenary army has now degenerated into a godless <e1> cabal </e1> of mindless <e2> killers </e2> not unlike the soviets that were butchering civilians in afghanistan exactly as sadistically as we have	16	collection	member	2
72	the <e1> fire </e1> inside wtc was caused by exploding <e2> fuel </e2>	10	effect	cause	2
73	the <e1> epithelium </e1> from the knockout mouse bladder is migrating into the transplanted <e2> matrix </e2>	7	entity	destination	1
74	the <e1> staff </e1> was removed from his <e2> position </e2>	13	entity	origin	1
75	the <e1> suffering </e1> caused by the <e2> terrorists </e2> is the real torture	10	effect	cause	2
